Latitude (decimal degrees):	38.496
Longitude (decimal degrees):	27.707
Elevation (m):	97
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	6.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200103:0310,0.0,0.0,0.0,0.0,0.0,-2.64,1.79,0.0
20200103:0410,0.0,0.0,0.0,0.0,0.0,-2.86,1.79,0.0
20200103:0510,0.0,0.0,0.0,0.0,0.0,-3.02,1.79,0.0
20200103:0610,1004.22,139.24,61.91,1.34,6.3,-2.8,1.79,0.0
20200103:0710,2594.7,369.04,119.89,4.2,15.12,0.2,2.07,0.0
20200103:0810,3699.72,563.85,142.46,6.69,22.19,2.03,2.34,0.0
20200103:0910,4269.18,668.28,158.8,8.25,26.89,3.47,2.62,0.0
20200103:1010,4504.62,719.19,160.15,8.88,28.67,4.76,2.97,0.0
20200103:1110,4313.34,684.52,156.23,8.39,27.26,5.78,3.17,0.0
20200103:1210,3792.42,592.1,140.03,6.96,22.87,6.37,3.52,0.0
20200103:1310,2752.08,410.26,118.36,4.56,16.03,6.46,3.45,0.0
20200103:1410,1201.8,174.36,69.59,1.66,7.39,6.0,2.9,0.0
20200103:1510,0.0,0.0,0.0,0.0,0.0,4.58,2.07,0.0
20200103:1610,0.0,0.0,0.0,0.0,0.0,2.98,1.59,0.0
20200103:1710,0.0,0.0,0.0,0.0,0.0,1.16,1.45,0.0
20200103:1810,0.0,0.0,0.0,0.0,0.0,-0.06,1.31,0.0
20200103:1910,0.0,0.0,0.0,0.0,0.0,0.08,1.31,0.0
20200103:2010,0.0,0.0,0.0,0.0,0.0,-0.44,1.24,0.0
20200103:2110,0.0,0.0,0.0,0.0,0.0,-0.77,1.24,0.0
20200103:2210,0.0,0.0,0.0,0.0,0.0,-1.05,1.17,0.0
20200103:2310,0.0,0.0,0.0,0.0,0.0,-1.15,1.1,0.0
20200104:0010,0.0,0.0,0.0,0.0,0.0,-1.24,1.1,0.0
20200104:0110,0.0,0.0,0.0,0.0,0.0,-1.65,1.17,0.0
20200104:0210,0.0,0.0,0.0,0.0,0.0,-1.47,1.1,0.0
20200104:0310,0.0,0.0,0.0,0.0,0.0,-1.44,1.1,0.0
20200104:0410,0.0,0.0,0.0,0.0,0.0,-1.09,1.03,0.0
20200104:0510,0.0,0.0,0.0,0.0,0.0,-0.9,0.97,0.0
20200104:0610,427.38,46.26,49.39,0.99,6.3,-0.68,0.9,0.0
20200104:0710,1420.68,136.85,136.87,3.18,15.14,0.66,0.9,0.0
20200104:0810,2501.04,277.23,203.01,5.46,22.24,3.79,1.17,0.0
20200104:0910,4133.22,663.0,159.59,8.23,26.97,5.44,1.31,0.0
20200104:1010,4310.88,704.47,163.15,8.81,28.77,6.8,1.38,0.0
20200104:1110,4189.74,690.24,153.3,8.43,27.38,7.79,1.45,0.0
20200104:1210,2748.96,336.01,202.59,5.9,23.0,8.31,1.52,0.0
20200104:1310,2636.64,398.78,119.57,4.52,16.17,8.26,1.45,0.0
20200104:1410,1294.38,195.88,69.16,1.75,7.53,7.61,1.17,0.0
20200104:1510,0.0,0.0,0.0,0.0,0.0,5.65,1.03,0.0
20200104:1610,0.0,0.0,0.0,0.0,0.0,5.32,0.76,0.0
20200104:1710,0.0,0.0,0.0,0.0,0.0,4.86,0.62,0.0
20200104:1810,0.0,0.0,0.0,0.0,0.0,4.58,0.62,0.0
20200104:1910,0.0,0.0,0.0,0.0,0.0,3.48,0.76,0.0
20200104:2010,0.0,0.0,0.0,0.0,0.0,2.74,0.97,0.0
20200104:2110,0.0,0.0,0.0,0.0,0.0,1.67,1.1,0.0
20200104:2210,0.0,0.0,0.0,0.0,0.0,0.66,1.24,0.0
20200104:2310,0.0,0.0,0.0,0.0,0.0,-0.06,1.31,0.0
20200105:0010,0.0,0.0,0.0,0.0,0.0,-0.65,1.38,0.0
20200105:0110,0.0,0.0,0.0,0.0,0.0,-1.11,1.38,0.0
20200105:0210,0.0,0.0,0.0,0.0,0.0,-0.99,1.31,0.0
20200105:0310,0.0,0.0,0.0,0.0,0.0,-0.9,1.31,0.0
20200105:0410,0.0,0.0,0.0,0.0,0.0,-0.93,1.38,0.0
20200105:0510,0.0,0.0,0.0,0.0,0.0,-1.23,1.45,0.0
20200105:0610,112.5,3.84,29.72,0.6,6.31,-0.92,1.31,0.0
20200105:0710,630.9,25.88,105.21,2.19,15.17,0.78,1.17,0.0
20200105:0810,650.04,6.06,130.08,2.62,22.29,3.38,0.97,0.0
20200105:0910,1237.92,43.59,201.33,4.25,27.05,5.17,0.97,0.0
20200105:1010,2283.24,185.9,257.8,6.17,28.88,6.27,1.1,0.0
20200105:1110,2164.5,177.25,245.22,5.84,27.5,7.13,1.03,0.0
20200105:1210,1627.02,119.56,200.09,4.56,23.14,7.42,1.1,0.0
20200105:1310,1575.54,161.77,148.66,3.56,16.32,7.19,1.03,0.0
20200105:1410,201.42,10.16,42.79,0.87,7.68,6.14,1.31,0.0
20200105:1510,0.0,0.0,0.0,0.0,0.0,4.74,1.45,0.0
20200105:1610,0.0,0.0,0.0,0.0,0.0,3.25,1.24,0.0
20200105:1710,0.0,0.0,0.0,0.0,0.0,2.55,1.38,0.0
20200105:1810,0.0,0.0,0.0,0.0,0.0,2.12,1.45,0.0
20200105:1910,0.0,0.0,0.0,0.0,0.0,1.62,1.31,0.0
20200105:2010,0.0,0.0,0.0,0.0,0.0,1.44,1.45,0.0
20200105:2110,0.0,0.0,0.0,0.0,0.0,0.98,1.59,0.0
20200105:2210,0.0,0.0,0.0,0.0,0.0,0.68,1.72,0.0
20200105:2310,0.0,0.0,0.0,0.0,0.0,0.47,1.79,0.0
20200106:0010,0.0,0.0,0.0,0.0,0.0,0.31,1.72,0.0
20200106:0110,0.0,0.0,0.0,0.0,0.0,0.41,1.79,0.0
20200106:0210,0.0,0.0,0.0,0.0,0.0,-0.05,1.66,0.0
20200106:0310,0.0,0.0,0.0,0.0,0.0,-0.51,1.59,0.0
20200106:0410,0.0,0.0,0.0,0.0,0.0,-0.54,1.59,0.0
20200106:0510,0.0,0.0,0.0,0.0,0.0,-0.66,1.59,0.0
20200106:0610,2.34,0.0,6.36,0.13,6.33,-0.65,1.59,0.0
20200106:0710,194.34,0.0,50.0,0.99,15.21,-0.08,1.79,0.0
20200106:0810,171.12,0.0,45.45,0.9,22.35,0.11,1.79,0.0
20200106:0910,245.46,0.0,60.0,1.19,27.14,0.45,1.86,0.0
20200106:1010,544.02,0.0,115.45,2.3,28.99,1.07,2.21,0.0
20200106:1110,311.88,0.0,72.72,1.45,27.64,1.06,2.07,0.0
20200106:1210,192.96,0.0,50.0,0.99,23.28,1.42,2.14,0.0
20200106:1310,90.96,0.0,29.09,0.58,16.47,1.63,2.41,0.0
20200106:1410,148.02,3.33,37.82,0.76,7.83,1.67,1.86,0.0
20200106:1510,0.0,0.0,0.0,0.0,0.0,1.01,1.59,0.0
20200106:1610,0.0,0.0,0.0,0.0,0.0,0.5,1.52,0.0
20200106:1710,0.0,0.0,0.0,0.0,0.0,0.01,1.52,0.0
20200106:1810,0.0,0.0,0.0,0.0,0.0,-0.6,1.52,0.0
20200106:1910,0.0,0.0,0.0,0.0,0.0,-1.44,1.52,0.0
20200106:2010,0.0,0.0,0.0,0.0,0.0,-1.26,1.52,0.0
20200106:2110,0.0,0.0,0.0,0.0,0.0,-1.36,1.66,0.0
20200106:2210,0.0,0.0,0.0,0.0,0.0,-0.82,1.79,0.0
20200106:2310,0.0,0.0,0.0,0.0,0.0,-0.43,1.66,0.0
20200107:0010,0.0,0.0,0.0,0.0,0.0,-0.3,1.86,0.0
20200107:0110,0.0,0.0,0.0,0.0,0.0,-0.66,1.86,0.0
20200107:0210,0.0,0.0,0.0,0.0,0.0,-0.71,1.66,0.0
20200107:0310,0.0,0.0,0.0,0.0,0.0,-1.02,1.66,0.0
20200107:0410,0.0,0.0,0.0,0.0,0.0,-0.94,1.66,0.0
20200107:0510,0.0,0.0,0.0,0.0,0.0,-0.77,1.79,0.0
20200107:0610,16.14,0.0,10.91,0.22,6.35,-0.34,1.79,0.0
20200107:0710,268.68,0.0,64.54,1.28,15.25,1.1,2.69,0.0
20200107:0810,301.62,0.0,70.9,1.41,22.42,1.72,3.38,0.0
20200107:0910,945.36,15.08,172.59,3.53,27.23,2.08,3.31,0.0
20200107:1010,387.9,0.0,87.27,1.74,29.11,2.54,3.59,0.0
20200107:1110,262.08,0.0,63.63,1.27,27.78,2.62,3.24,0.0
20200107:1210,224.28,0.0,56.36,1.12,23.44,2.74,3.24,0.0
20200107:1310,219.6,0.0,55.45,1.1,16.63,2.72,2.9,0.0
20200107:1410,43.2,0.0,18.18,0.36,7.98,2.27,2.34,0.0
20200107:1510,0.0,0.0,0.0,0.0,0.0,1.55,2.41,0.0
20200107:1610,0.0,0.0,0.0,0.0,0.0,1.21,2.28,0.0
20200107:1710,0.0,0.0,0.0,0.0,0.0,0.75,2.21,0.0
20200107:1810,0.0,0.0,0.0,0.0,0.0,0.53,2.21,0.0
20200107:1910,0.0,0.0,0.0,0.0,0.0,-0.15,2.0,0.0
20200107:2010,0.0,0.0,0.0,0.0,0.0,-0.52,2.0,0.0
20200107:2110,0.0,0.0,0.0,0.0,0.0,-0.8,1.93,0.0
20200107:2210,0.0,0.0,0.0,0.0,0.0,-1.07,1.86,0.0
20200107:2310,0.0,0.0,0.0,0.0,0.0,-1.25,1.79,0.0
20200108:0010,0.0,0.0,0.0,0.0,0.0,-1.69,1.79,0.0
20200108:0110,0.0,0.0,0.0,0.0,0.0,-2.31,1.72,0.0
20200108:0210,0.0,0.0,0.0,0.0,0.0,-3.03,1.66,0.0
20200108:0310,0.0,0.0,0.0,0.0,0.0,-3.35,1.59,0.0
20200108:0410,0.0,0.0,0.0,0.0,0.0,-3.74,1.66,0.0
20200108:0510,0.0,0.0,0.0,0.0,0.0,-3.97,1.66,0.0
20200108:0610,19.8,0.0,11.82,0.24,6.38,-4.02,1.52,0.0
20200108:0710,264.6,0.0,62.72,1.25,15.3,-3.31,1.93,0.0
20200108:0810,2040.18,180.05,201.81,4.9,22.5,-0.02,2.41,0.0
20200108:0910,1331.88,50.75,205.47,4.38,27.34,1.81,3.17,0.0
20200108:1010,858.9,5.53,167.21,3.36,29.24,2.67,3.52,0.0
20200108:1110,569.76,0.0,120.9,2.41,27.93,3.43,4.69,0.0
20200108:1210,241.92,0.0,60.0,1.19,23.6,3.82,4.55,0.0
20200108:1310,265.2,0.0,64.54,1.28,16.79,4.0,4.28,0.0
20200108:1410,710.88,80.85,68.2,1.46,8.14,3.44,3.17,0.0
20200108:1510,0.0,0.0,0.0,0.0,0.0,2.27,2.97,0.0
20200108:1610,0.0,0.0,0.0,0.0,0.0,1.34,2.34,0.0
20200108:1710,0.0,0.0,0.0,0.0,0.0,0.62,2.14,0.0
20200108:1810,0.0,0.0,0.0,0.0,0.0,0.06,2.07,0.0
20200108:1910,0.0,0.0,0.0,0.0,0.0,-0.11,1.93,0.0
20200108:2010,0.0,0.0,0.0,0.0,0.0,-0.44,2.0,0.0
20200108:2110,0.0,0.0,0.0,0.0,0.0,-0.63,1.86,0.0
20200108:2210,0.0,0.0,0.0,0.0,0.0,-0.91,2.0,0.0
20200108:2310,0.0,0.0,0.0,0.0,0.0,-1.13,2.07,0.0
20200109:0010,0.0,0.0,0.0,0.0,0.0,-1.25,2.07,0.0
20200109:0110,0.0,0.0,0.0,0.0,0.0,-1.26,2.0,0.0
20200109:0210,0.0,0.0,0.0,0.0,0.0,-1.37,2.28,0.0
20200109:0310,0.0,0.0,0.0,0.0,0.0,-1.41,2.48,0.0
20200109:0410,0.0,0.0,0.0,0.0,0.0,-1.4,2.48,0.0
20200109:0510,0.0,0.0,0.0,0.0,0.0,-1.57,2.34,0.0
20200109:0610,1013.7,142.31,61.78,1.37,6.41,-1.64,2.07,0.0
20200109:0710,2605.62,363.76,122.56,4.27,15.36,-0.87,2.76,0.0
20200109:0810,3656.88,530.35,155.63,6.69,22.58,0.12,3.1,0.0
20200109:0910,4391.1,676.45,159.1,8.45,27.45,1.49,3.52,0.0
20200109:1010,4646.04,731.4,160.45,9.13,29.38,2.5,3.66,0.0
20200109:1110,4456.86,699.87,156.48,8.68,28.08,3.31,3.59,0.0
20200109:1210,3928.98,609.57,141.7,7.29,23.76,3.78,3.38,0.0
20200109:1310,2733.36,388.72,130.57,4.72,16.96,3.95,3.17,0.0
20200109:1410,1334.04,191.04,74.41,1.92,8.31,3.67,2.69,0.0
20200109:1510,0.0,0.0,0.0,0.0,0.0,2.52,2.14,0.0
20200109:1610,0.0,0.0,0.0,0.0,0.0,0.84,1.66,0.0
20200109:1710,0.0,0.0,0.0,0.0,0.0,-0.63,1.52,0.0
20200109:1810,0.0,0.0,0.0,0.0,0.0,-1.19,1.52,0.0
20200109:1910,0.0,0.0,0.0,0.0,0.0,-0.78,1.45,0.0
20200109:2010,0.0,0.0,0.0,0.0,0.0,-0.85,1.45,0.0
20200109:2110,0.0,0.0,0.0,0.0,0.0,-1.29,1.52,0.0
20200109:2210,0.0,0.0,0.0,0.0,0.0,-1.51,1.52,0.0
20200109:2310,0.0,0.0,0.0,0.0,0.0,-1.44,1.52,0.0
20200110:0010,0.0,0.0,0.0,0.0,0.0,-1.36,1.45,0.0
20200110:0110,0.0,0.0,0.0,0.0,0.0,-1.03,1.38,0.0
20200110:0210,0.0,0.0,0.0,0.0,0.0,-1.2,1.38,0.0
20200110:0310,0.0,0.0,0.0,0.0,0.0,-1.86,1.45,0.0
20200110:0410,0.0,0.0,0.0,0.0,0.0,-1.81,1.45,0.0
20200110:0510,0.0,0.0,0.0,0.0,0.0,-1.45,1.45,0.0
20200110:0610,1023.24,144.85,62.03,1.39,6.45,-1.04,1.38,0.0
20200110:0710,2602.68,378.24,116.31,4.3,15.42,0.41,1.24,0.0
20200110:0810,3691.8,560.24,141.69,6.78,22.67,-0.58,1.59,0.0
20200110:0910,4214.4,668.65,158.05,8.39,27.56,3.89,1.79,0.0
20200110:1010,4466.04,723.53,159.41,9.08,29.52,4.53,1.93,0.0
20200110:1110,4328.04,701.05,154.59,8.7,28.24,5.02,1.86,0.0
20200110:1210,3829.74,610.72,138.18,7.29,23.93,5.21,1.86,0.0
20200110:1310,2799.54,419.17,121.31,4.85,17.13,4.9,1.72,0.0
20200110:1410,1344.9,194.34,75.76,1.97,8.48,4.69,1.24,0.0
20200110:1510,0.0,0.0,0.0,0.0,0.0,4.8,1.03,0.0
20200110:1610,0.0,0.0,0.0,0.0,0.0,5.74,0.9,0.0
20200110:1710,0.0,0.0,0.0,0.0,0.0,5.04,0.9,0.0
20200110:1810,0.0,0.0,0.0,0.0,0.0,4.54,1.03,0.0
20200110:1910,0.0,0.0,0.0,0.0,0.0,4.16,1.1,0.0
20200110:2010,0.0,0.0,0.0,0.0,0.0,3.78,1.24,0.0
20200110:2110,0.0,0.0,0.0,0.0,0.0,3.4,1.38,0.0
20200110:2210,0.0,0.0,0.0,0.0,0.0,2.85,1.45,0.0
20200110:2310,0.0,0.0,0.0,0.0,0.0,2.18,1.52,0.0
20200111:0010,0.0,0.0,0.0,0.0,0.0,2.35,1.45,0.0
20200111:0110,0.0,0.0,0.0,0.0,0.0,1.36,1.52,0.0
20200111:0210,0.0,0.0,0.0,0.0,0.0,0.25,1.52,0.0
20200111:0310,0.0,0.0,0.0,0.0,0.0,-0.12,1.52,0.0
20200111:0410,0.0,0.0,0.0,0.0,0.0,-0.49,1.52,0.0
20200111:0510,0.0,0.0,0.0,0.0,0.0,-0.96,1.52,0.0
20200111:0610,1049.16,150.9,61.25,1.41,6.5,-0.61,1.45,0.0
20200111:0710,2577.9,378.68,116.03,4.32,15.49,2.24,1.1,0.0
20200111:0810,3529.32,554.16,142.26,6.76,22.76,5.39,0.9,0.0
20200111:0910,4069.32,671.96,156.43,8.43,27.69,7.69,0.69,0.0
20200111:1010,4257.96,728.38,156.37,9.11,29.67,9.25,0.48,0.0
20200111:1110,4099.68,705.82,151.47,8.73,28.41,10.12,0.21,0.0
20200111:1210,3634.08,600.11,141.28,7.27,24.11,10.55,0.69,0.0
20200111:1310,2703.72,416.26,123.38,4.88,17.3,10.45,1.03,0.0
20200111:1410,1340.04,200.55,75.96,2.03,8.65,9.95,0.55,0.0
20200111:1510,0.0,0.0,0.0,0.0,0.0,9.05,0.28,0.0
20200111:1610,0.0,0.0,0.0,0.0,0.0,7.7,0.69,0.0
20200111:1710,0.0,0.0,0.0,0.0,0.0,6.67,0.97,0.0
20200111:1810,0.0,0.0,0.0,0.0,0.0,5.58,1.03,0.0
20200111:1910,0.0,0.0,0.0,0.0,0.0,4.72,1.1,0.0
20200111:2010,0.0,0.0,0.0,0.0,0.0,4.57,1.1,0.0
20200111:2110,0.0,0.0,0.0,0.0,0.0,4.44,1.1,0.0
20200111:2210,0.0,0.0,0.0,0.0,0.0,4.26,1.1,0.0
20200111:2310,0.0,0.0,0.0,0.0,0.0,3.99,1.1,0.0
20200112:0010,0.0,0.0,0.0,0.0,0.0,3.92,1.03,0.0
20200112:0110,0.0,0.0,0.0,0.0,0.0,3.44,0.97,0.0
20200112:0210,0.0,0.0,0.0,0.0,0.0,3.25,0.97,0.0
20200112:0310,0.0,0.0,0.0,0.0,0.0,3.04,0.97,0.0
20200112:0410,0.0,0.0,0.0,0.0,0.0,2.89,1.03,0.0
20200112:0510,0.0,0.0,0.0,0.0,0.0,2.63,1.03,0.0
20200112:0610,361.62,36.44,47.87,0.98,6.55,2.69,1.03,0.0
20200112:0710,273.72,0.0,66.36,1.32,15.57,3.98,0.76,0.0
20200112:0810,1864.14,163.61,199.8,4.81,22.87,6.47,0.97,0.0
20200112:0910,2464.2,235.56,245.06,6.26,27.82,7.43,1.31,0.0
20200112:1010,2516.88,231.02,261.73,6.6,29.83,8.35,1.45,0.0
20200112:1110,3581.04,498.78,217.23,7.85,28.59,8.97,1.31,0.0
20200112:1210,3642.42,587.57,142.62,7.22,24.29,9.32,1.31,0.0
20200112:1310,2710.68,413.31,122.34,4.88,17.49,9.25,1.38,0.0
20200112:1410,1347.6,200.43,75.1,2.04,8.83,8.81,1.1,0.0
20200112:1510,0.0,0.0,0.0,0.0,0.0,7.5,1.03,0.0
20200112:1610,0.0,0.0,0.0,0.0,0.0,5.36,1.1,0.0
20200112:1710,0.0,0.0,0.0,0.0,0.0,3.94,1.1,0.0
20200112:1810,0.0,0.0,0.0,0.0,0.0,3.05,1.1,0.0
20200112:1910,0.0,0.0,0.0,0.0,0.0,3.53,0.97,0.0
20200112:2010,0.0,0.0,0.0,0.0,0.0,3.09,0.97,0.0
20200112:2110,0.0,0.0,0.0,0.0,0.0,1.75,1.17,0.0
20200112:2210,0.0,0.0,0.0,0.0,0.0,1.52,1.1,0.0
20200112:2310,0.0,0.0,0.0,0.0,0.0,1.88,0.97,0.0
20200113:0010,0.0,0.0,0.0,0.0,0.0,0.85,1.1,0.0
20200113:0110,0.0,0.0,0.0,0.0,0.0,0.01,1.38,0.0
20200113:0210,0.0,0.0,0.0,0.0,0.0,-0.45,1.38,0.0
20200113:0310,0.0,0.0,0.0,0.0,0.0,-0.52,1.31,0.0
20200113:0410,0.0,0.0,0.0,0.0,0.0,-0.47,1.24,0.0
20200113:0510,0.0,0.0,0.0,0.0,0.0,-0.56,1.24,0.0
20200113:0610,875.16,119.0,60.9,1.34,6.61,-0.41,1.24,0.0
20200113:0710,2398.2,336.04,123.44,4.18,15.65,2.19,1.1,0.0
20200113:0810,3552.42,549.65,142.54,6.78,22.98,4.51,1.45,0.0
20200113:0910,4121.58,659.7,158.98,8.41,27.96,6.12,1.59,0.0
20200113:1010,4322.16,705.02,163.95,9.06,29.99,7.32,1.59,0.0
20200113:1110,4124.94,665.44,164.91,8.61,28.77,8.37,1.52,0.0
20200113:1210,3626.1,575.06,148.35,7.22,24.48,8.87,1.45,0.0
20200113:1310,2719.92,412.48,124.58,4.94,17.67,8.94,1.31,0.0
20200113:1410,1351.92,197.27,78.51,2.1,9.01,8.49,1.1,0.0
20200113:1510,0.0,0.0,0.0,0.0,0.0,7.24,1.1,0.0
20200113:1610,0.0,0.0,0.0,0.0,0.0,5.51,0.83,0.0
20200113:1710,0.0,0.0,0.0,0.0,0.0,5.46,0.62,0.0
20200113:1810,0.0,0.0,0.0,0.0,0.0,4.93,0.62,0.0
20200113:1910,0.0,0.0,0.0,0.0,0.0,4.69,0.55,0.0
20200113:2010,0.0,0.0,0.0,0.0,0.0,4.08,0.69,0.0
20200113:2110,0.0,0.0,0.0,0.0,0.0,3.48,0.76,0.0
20200113:2210,0.0,0.0,0.0,0.0,0.0,2.97,0.83,0.0
20200113:2310,0.0,0.0,0.0,0.0,0.0,2.59,0.9,0.0
20200114:0010,0.0,0.0,0.0,0.0,0.0,2.46,0.9,0.0
20200114:0110,0.0,0.0,0.0,0.0,0.0,2.28,0.83,0.0
20200114:0210,0.0,0.0,0.0,0.0,0.0,2.26,0.83,0.0
20200114:0310,0.0,0.0,0.0,0.0,0.0,2.28,0.83,0.0
20200114:0410,0.0,0.0,0.0,0.0,0.0,2.16,0.9,0.0
20200114:0510,0.0,0.0,0.0,0.0,0.0,1.43,1.03,0.0
20200114:0610,927.0,128.35,62.42,1.39,6.68,0.93,1.1,0.0
20200114:0710,0.0,0.0,0.0,0.0,0.0,1.62,0.48,0.0
20200114:0810,3405.0,521.84,154.14,6.73,23.09,5.49,0.41,0.0
20200114:0910,4014.6,644.28,168.87,8.43,28.11,7.07,0.69,0.0
20200114:1010,4215.9,689.71,173.82,9.08,30.16,8.16,0.76,0.0
20200114:1110,4053.12,662.69,169.93,8.68,28.95,9.13,0.62,0.0
20200114:1210,3604.08,585.55,148.7,7.34,24.67,9.69,0.48,0.0
20200114:1310,2672.88,407.3,127.78,4.97,17.86,9.8,0.48,0.0
20200114:1410,1337.7,194.16,80.25,2.13,9.2,9.35,0.76,0.0
20200114:1510,0.0,0.0,0.0,0.0,0.0,8.0,0.83,0.0
20200114:1610,0.0,0.0,0.0,0.0,0.0,6.88,0.55,0.0
20200114:1710,0.0,0.0,0.0,0.0,0.0,6.09,0.41,0.0
20200114:1810,0.0,0.0,0.0,0.0,0.0,5.54,0.48,0.0
20200114:1910,0.0,0.0,0.0,0.0,0.0,4.83,0.62,0.0
20200114:2010,0.0,0.0,0.0,0.0,0.0,4.32,0.83,0.0
20200114:2110,0.0,0.0,0.0,0.0,0.0,3.61,0.97,0.0
20200114:2210,0.0,0.0,0.0,0.0,0.0,3.17,1.03,0.0
20200114:2310,0.0,0.0,0.0,0.0,0.0,2.8,1.1,0.0
20200115:0010,0.0,0.0,0.0,0.0,0.0,2.22,1.1,0.0
20200115:0110,0.0,0.0,0.0,0.0,0.0,1.43,1.17,0.0
20200115:0210,0.0,0.0,0.0,0.0,0.0,0.73,1.24,0.0
20200115:0310,0.0,0.0,0.0,0.0,0.0,0.46,1.24,0.0
20200115:0410,0.0,0.0,0.0,0.0,0.0,0.71,1.17,0.0
20200115:0510,0.0,0.0,0.0,0.0,0.0,1.41,1.03,0.0
20200115:0610,815.94,109.21,61.24,1.34,6.75,1.67,0.97,0.0
20200115:0710,2315.58,314.13,131.14,4.18,15.83,2.75,0.97,0.0
20200115:0810,3328.92,484.45,168.27,6.64,23.22,5.8,1.17,0.0
